Reference, Value, Footprint, Datasheet, LCSC Part Number, Manufacturer, Mfg part no.
"R11","100K","Resistor_SMD:R_0805_2012Metric","~","C149504","Uniroyal Elec","0805W8F1003T5E"
"R12","2.2K","Resistor_SMD:R_0805_2012Metric","~","C17520","Uniroyal Elec","0805W8F2201T5E"
"R13","10R","Resistor_SMD:R_0805_2012Metric","~","C17415","Uniroyal Elec","0805W8F100JT5E"
"R14","100K","Resistor_SMD:R_0805_2012Metric","~","C149504","Uniroyal Elec","0805W8F1003T5E"
"J10","PART_FAN","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","C124375","Shenzhen Cankemeng","C124375"
"U8","Pololu_board","Module:Pololu_Breakout-16_15.2x20.3mm","","C27438","Boom Precision Elec","x2"
"U5","Pololu_board","Module:Pololu_Breakout-16_15.2x20.3mm","","C27438","Boom Precision Elec","x2"
"J21","X_MOTOR","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","C124378","Shenzhen Cankemeng","C124378"
"C15","100uF35V","Capacitor_SMD:CP_Elec_6.3x7.7","~","C97811","Semtech","CS1V101M-CRE77"
"U6","Pololu_board","Module:Pololu_Breakout-16_15.2x20.3mm","","C27438","Boom Precision Elec","x2"
"U9","Pololu_board","Module:Pololu_Breakout-16_15.2x20.3mm","","C27438","Boom Precision Elec","x2"
"R32","10K","Resistor_SMD:R_0805_2012Metric","~","C38522","Uniroyal Elec","0805W8F2201T5E"
"J11","FAN_HEATSINK","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","C124375","Shenzhen Cankemeng","C124375"
"C16","100uF35V","Capacitor_SMD:CP_Elec_6.3x7.7","~","C97811","Semtech","CS1V101M-CRE77"
"C17","100uF35V","Capacitor_SMD:CP_Elec_6.3x7.7","~","C97811","Semtech","CS1V101M-CRE77"
"C18","100uF35V","Capacitor_SMD:CP_Elec_6.3x7.7","~","C97811","Semtech","CS1V101M-CRE77"
"J23","Y_MOTOR","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","C124378","Shenzhen Cankemeng","C124378"
"J24","E0_MOTOR","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","C124378","Shenzhen Cankemeng","C124378"
"J22","Z_MOTOR","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","C124386","Shenzhen Cankemeng","C124386"
"D3","LED_E0","projfp:LED_0805","~","C72037","Everlight Elec","17-21SURC/S530-A3/TR8"
"D6","LED_FAN","projfp:LED_0805","~","C72037","Everlight Elec","17-21SURC/S530-A3/TR8"
"J8","FAN_CASE","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","C124375","Shenzhen Cankemeng","C124375"
"J12","T_BED","Connector_JST:JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical","~","C158012","JST Sales America","B2B-XH-A(LF)(SN)"
"R16","4.7K","Resistor_SMD:R_0805_2012Metric","~","C17673","Uniroyal Elec","0805W8F4701T5E"
"C5","22uF6.3V","Capacitor_SMD:C_0805_2012Metric","~","C5674","Samsung Electro-Mechanics","CL21A226MQQNNNE"
"J13","T_E0","Connector_JST:JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical","~","C158012","JST Sales America","B2B-XH-A(LF)(SN)"
"R17","4.7K","Resistor_SMD:R_0805_2012Metric","~","C17673","Uniroyal Elec","0805W8F4701T5E"
"C6","22uF6.3V","Capacitor_SMD:C_0805_2012Metric","~","C5674","Samsung Electro-Mechanics","CL21A226MQQNNNE"
"J1","X_MIN","Connector_JST:JST_XH_B03B-XH-A_1x03_P2.50mm_Vertical","~","C144394","JST Sales America","B3B-XH-A(LF)(SN)"
"R3","10K","Resistor_SMD:R_0805_2012Metric","~","C38522","Uniroyal Elec","0805W8F2201T5E"
"C1","100nF25V","Capacitor_SMD:C_0805_2012Metric","~","C128353","Walsin Tech Corp","0805B104K250"
"J5","Y_MIN","Connector_JST:JST_XH_B03B-XH-A_1x03_P2.50mm_Vertical","~","C144394","JST Sales America","B3B-XH-A(LF)(SN)"
"R8","10K","Resistor_SMD:R_0805_2012Metric","~","C38522","Uniroyal Elec","0805W8F2201T5E"
"C3","100nF25V","Capacitor_SMD:C_0805_2012Metric","~","C128353","Walsin Tech Corp","0805B104K250"
"J2","Z_MIN","Connector_JST:JST_XH_B03B-XH-A_1x03_P2.50mm_Vertical","~","C144394","JST Sales America","B3B-XH-A(LF)(SN)"
"R4","10K","Resistor_SMD:R_0805_2012Metric","~","C38522","Uniroyal Elec","0805W8F2201T5E"
"C2","100nF25V","Capacitor_SMD:C_0805_2012Metric","~","C128353","Walsin Tech Corp","0805B104K250"
"J6","Z_PROBE","Connector_JST:JST_XH_B03B-XH-A_1x03_P2.50mm_Vertical","~","C144394","JST Sales America","B3B-XH-A(LF)(SN)"
"D2","1N4148W","projfp:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf","C81598","Semtech","1N4148W"
"R15","12K","Resistor_SMD:R_0805_2012Metric","~","C17444","Uniroyal Elec","0805W8F1202T5E"
"SW1","RESET","projfp:6x6mmTactileSwitch","","C83206","Korean Hroparts Elec","K2-6639SP-C4SC-04"
"J15","AUX1","Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical","~","C9135","Boom Precision Elec","C9135"
"J14","I2C/SPI","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","C124381","Shenzhen Cankemeng","C124381"
"R19","4.7K","Resistor_SMD:R_0805_2012Metric","~","C17673","Uniroyal Elec","0805W8F4701T5E"
"R20","4.7K","Resistor_SMD:R_0805_2012Metric","~","C17673","Uniroyal Elec","0805W8F4701T5E"
"H1","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~"
"H2","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~"
"H3","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~"
"H4","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~"
"JP1","X_MS1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP5","X_MS2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP9","X_MS3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP13","X_RST","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP2","Y_MS1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP6","Y_MS2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP10","Y_MS3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP14","Y_RST","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP3","Z_MS1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP7","Z_MS2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP11","Z_MS3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP15","Z_RST","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP4","E0_MS1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP8","E0_MS2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP12","E0_MS3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP16","E0_RST","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"U3","CH340C","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953","C84681","Jiangsu Qin Heng","CH340C"
"J4","Micro_SD_Card_China","projfp:Conn_uSDcard","","C111196","SOFNG","TF-15×15"
"C19","100uF6.3V","Capacitor_SMD:C_1206_3216Metric","~","C15008","Samsung Electro-Mechanics","CL31A107MQHNNNE"
"R38","1K","Resistor_SMD:R_0805_2012Metric","~","C17513","Uniroyal Elec","0805W8F1001T5E"
"R35","1K","Resistor_SMD:R_0805_2012Metric","~","C17513","Uniroyal Elec","0805W8F1001T5E"
"U10","TLP182","Package_SO:MFSOP6-4_4.4x3.6mm_P1.27mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=11793&prodName=TLP184","C96457","TOSHIBA","TLP182(GB-TPL,E"
"U11","74LVC1G125","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","C12519","Nexperia","74LVC1G125GW,125"
"U12","74LVC1G125","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","C12519","Nexperia","74LVC1G125GW,125"
"R36","330R","Resistor_SMD:R_0805_2012Metric","~","C17630","Uniroyal Elec","0805W8F3300T5E"
"D14","1N5819W","Diode_SMD:D_SOD-123","http://www.vishay.com/docs/88525/1n5817.pdf","C169540","Shandong Jingdao Microelectronics","1N5819W"
"D15","1N5819W","Diode_SMD:D_SOD-123","http://www.vishay.com/docs/88525/1n5817.pdf","C169540","Shandong Jingdao Microelectronics","1N5819W"
"J17","CS_PINS","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","C124378","Shenzhen Cankemeng","C124378"
"R1","10K","Resistor_SMD:R_0805_2012Metric","~","C38522","Uniroyal Elec","0805W8F2201T5E"
"JP18","PWR_SEL","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"JP17","5V_SEL","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","C124376","Shenzhen Cankemeng","C124376"
"C28","100nF25V","Capacitor_SMD:C_0805_2012Metric","~","C128353","Walsin Tech Corp","0805B104K250"
